,start,node,geometry,count
0,3,7108,"LINESTRING (-21.7458194 64.0618473, -21.7366713 64.0633697)",28
1,3,11988,"LINESTRING (-21.7458194 64.0618473, -21.7772271 64.05867720000001)",3
2,8,485,"LINESTRING (-21.758287 64.1304962, -21.759515 64.130942)",281
3,8,15400,"LINESTRING (-21.758287 64.1304962, -21.7525698 64.1300512)",4
4,17,10060,"LINESTRING (-21.5675354 64.31168099999999, -21.5937513 64.3159593)",298
5,17,14907,"LINESTRING (-21.5675354 64.31168099999999, -21.5664786 64.3114415)",8
6,18,1932,"LINESTRING (-21.6074539 64.115444, -21.6098429 64.11468290000001)",45
7,20,14114,"LINESTRING (-21.5365159 64.1888785, -21.5415147 64.1875268)",624
8,42,4288,"LINESTRING (-21.9262347 64.14026029999999, -21.92595 64.1400541)",9
9,42,new_obj_1367,"LINESTRING (-21.9262347 64.14026029999999, -21.9270626998779 64.14004680005127)",1
10,42,new_obj_1436,"LINESTRING (-21.9262347 64.14026029999999, -21.92709150019735 64.14091670018354)",390
11,89,13245,"LINESTRING (-21.8501947 64.148352, -21.8508781 64.1482243)",15
12,103,13127,"LINESTRING (-21.6564989 64.1569428, -21.6548325 64.1584313, -21.6537209 64.1592783)",4
13,113,2395,"LINESTRING (-21.6503744 64.29679950000001, -21.6559007 64.2963058)",120
14,124,5392,"LINESTRING (-21.8415666 64.09779450000001, -21.8410399 64.0982824)",2
15,131,9583,"LINESTRING (-21.6443452 64.20831440000001, -21.6533997 64.200762)",30
16,134,new_obj_1082,"LINESTRING (-21.9577362 64.134495, -21.95694182244267 64.13510400386032)",5
17,135,11513,"LINESTRING (-21.9260814 64.14381, -21.9255992 64.14431)",394
18,152,4256,"LINESTRING (-21.6687086 64.3282701, -21.6678886 64.32814620000001)",15
19,164,new_obj_2377,"LINESTRING (-21.5479122 64.29796159999999, -21.54136399990512 64.29524230004372)",15
20,198,11044,"LINESTRING (-21.6477696 64.12768579999999, -21.6485098 64.1225068)",185
21,198,11466,"LINESTRING (-21.6477696 64.12768579999999, -21.6501467 64.1288175)",130
22,200,9111,"LINESTRING (-21.5934936 64.2984785, -21.5952665 64.29957570000001)",15
23,203,6795,"LINESTRING (-21.5473045 64.333557, -21.5573387 64.3356237)",14
24,203,9076,"LINESTRING (-21.5473045 64.333557, -21.5301805 64.33701050000001)",1
25,211,new_obj_147,"LINESTRING (-21.816967 64.10337680000001, -21.81717498946712 64.10398578308926)",4
26,215,6351,"LINESTRING (-21.7683765 64.1036931, -21.7634541 64.1025549)",378
27,215,new_obj_144,"LINESTRING (-21.7683765 64.1036931, -21.76998645029139 64.10407395017342)",646
28,216,6977,"LINESTRING (-21.9010456 64.1257502, -21.9027147 64.12632429999999)",1
29,217,new_obj_277,"LINESTRING (-21.6235477 64.1105385, -21.62399225015957 64.11019020006393)",60
30,220,new_obj_1993,"LINESTRING (-21.9844532 64.14998300000001, -21.98387942986709 64.15012116902984)",13
31,221,5843,"LINESTRING (-21.8327276 64.1303164, -21.8319436 64.1309475)",1
32,223,5401,"LINESTRING (-21.856686 64.13617619999999, -21.85649 64.1359825)",7
33,242,new_obj_2321,"LINESTRING (-21.6798395 64.1899126, -21.68709655015434 64.18939825013089)",43
34,256,14723,"LINESTRING (-21.6950626 64.1848724, -21.6941909 64.1845225)",15
35,260,11218,"LINESTRING (-21.5796448 64.16322049999999, -21.5857022 64.1643636)",15
36,268,9810,"LINESTRING (-21.8134826 64.2865327, -21.8267777 64.2835967)",1625
37,268,14023,"LINESTRING (-21.8134826 64.2865327, -21.8049485 64.2893708)",247
38,275,new_obj_267,"LINESTRING (-21.7608319 64.1015149, -21.7593283999884 64.10146860002622)",4
39,280,5236,"LINESTRING (-21.7534672 64.18693279999999, -21.7551745 64.18957760000001)",30
40,294,8106,"LINESTRING (-21.8381536 64.1427662, -21.8381113 64.1416203)",15
41,300,89,"LINESTRING (-21.8497763 64.1488471, -21.8501947 64.148352)",15
42,309,1261,"LINESTRING (-21.6424808 64.3559745, -21.6418502 64.3544771)",420
43,309,14693,"LINESTRING (-21.6424808 64.3559745, -21.6394962 64.3581267)",381
44,313,11744,"LINESTRING (-21.6924097 64.0913742, -21.6955276 64.0898766)",15
45,315,1101,"LINESTRING (-21.6302578 64.17101150000001, -21.6293522 64.17238380000001)",6
46,321,12292,"LINESTRING (-21.7958808 64.22729579999999, -21.8042966 64.2241551)",15
47,326,15239,"LINESTRING (-21.8606305 64.24483720000001, -21.8601776 64.2446595)",45
48,334,new_obj_3,"LINESTRING (-21.7618439 64.0659715, -21.74447267785102 64.07392210383738)",15
49,339,2598,"LINESTRING (-21.7044602 64.29173230000001, -21.7158051 64.2954903)",182
50,339,12811,"LINESTRING (-21.7044602 64.29173230000001, -21.6691762 64.2935961)",6
51,342,new_obj_1658,"LINESTRING (-21.9703426 64.14461369999999, -21.97088890014862 64.14471840005685)",6
52,343,new_obj_3,"LINESTRING (-21.7373533 64.07018600000001, -21.74447267785102 64.07392210383738)",72
53,344,1092,"LINESTRING (-21.354282 64.356601, -21.3599915 64.3564492)",98
54,344,8028,"LINESTRING (-21.343568 64.363508, -21.3484037 64.36239930000001, -21.34879 64.3622838, -21.354282 64.356601)",403
55,345,10145,"LINESTRING (-21.6807939 64.1619341, -21.6797576 64.1615079)",15
56,369,13515,"LINESTRING (-21.5923082 64.18326879999999, -21.5920334 64.1821841)",14
57,380,new_obj_765,"LINESTRING (-21.8114113 64.12858780000001, -21.81214225010878 64.12868685004338)",2
58,381,5793,"LINESTRING (-21.7116405 64.1242367, -21.7118692 64.1239628)",15
59,397,new_obj_2000,"LINESTRING (-21.9824782 64.1506199, -21.98197389987388 64.15078190005816)",13
60,403,2928,"LINESTRING (-21.7598903 64.0883267, -21.760484 64.08851540000001)",210
61,403,5623,"LINESTRING (-21.7598903 64.0883267, -21.7582419 64.0877773)",393
62,406,9850,"LINESTRING (-21.7405235 64.12591690000001, -21.7393192 64.1259129)",1
63,406,new_obj_690,"LINESTRING (-21.7405235 64.12591690000001, -21.7419809112138 64.12599255520644)",14
64,414,8430,"LINESTRING (-21.6021447 64.2992443, -21.6016134 64.29929559999999)",15
65,415,6919,"LINESTRING (-21.7057074 64.3321222, -21.7072643 64.33333589999999)",15
66,423,new_obj_1039,"LINESTRING (-21.9210226 64.13240380000001, -21.92319120008573 64.13207210011056)",1
67,423,new_obj_997,"LINESTRING (-21.9210226 64.13240380000001, -21.92028000991985 64.13266188204261)",14
68,435,13228,"LINESTRING (-21.8517911 64.1444127, -21.851931 64.144032)",22
69,448,10976,"LINESTRING (-21.8356175 64.128067, -21.8353727 64.12824139999999)",1
70,458,7059,"LINESTRING (-21.6302393 64.18045619999999, -21.6281298 64.18049619999999)",3
71,458,13438,"LINESTRING (-21.6302393 64.18045619999999, -21.6317136 64.1804374)",846
72,464,12254,"LINESTRING (-21.7361639 64.20694469999999, -21.7614018 64.20792520000001)",454
73,464,new_obj_2332,"LINESTRING (-21.7361639 64.20694469999999, -21.71282150012308 64.20777650005947)",1846
74,473,3194,"LINESTRING (-21.7326077 64.09804010000001, -21.729669 64.0984211, -21.7276165 64.0985764)",13
75,476,15952,"LINESTRING (-21.5740763 64.0806674, -21.5747564 64.08056379999999)",60
76,481,1461,"LINESTRING (-21.7933696 64.1245072, -21.7895038 64.12464660000001)",4
77,481,new_obj_1270,"LINESTRING (-21.7974820497516 64.12448195010079, -21.7968654 64.12444960000001, -21.7933696 64.1245072)",38
78,482,12438,"LINESTRING (-21.593022 64.3424239, -21.6041317 64.34223950000001)",213
79,485,8,"LINESTRING (-21.759515 64.130942, -21.758287 64.1304962)",4
80,485,new_obj_1233,"LINESTRING (-21.759515 64.130942, -21.76039160069698 64.13128054387845)",281
81,496,8305,"LINESTRING (-21.7369837 64.0859074, -21.7376208 64.0859918)",1
82,520,4963,"LINESTRING (-21.8134331 64.2298203, -21.8157229 64.2295067)",19
83,537,new_obj_467,"LINESTRING (-21.8118087 64.1213106, -21.81206616301749 64.12105910945547)",318
84,537,new_obj_534,"LINESTRING (-21.81176730009939 64.12348530004073, -21.8115725 64.122804, -21.8118087 64.1213106)",22
85,550,15880,"LINESTRING (-21.6602108 64.1018279, -21.6591264 64.1029027)",24
86,618,4463,"LINESTRING (-21.4795588 64.2937192, -21.4656953 64.2911974)",104
87,618,5918,"LINESTRING (-21.4795588 64.2937192, -21.4817156 64.29394139999999)",22
88,629,new_obj_2359,"LINESTRING (-21.8757729 64.2414605, -21.87489484980273 64.24155870008485)",15
89,634,10426,"LINESTRING (-21.9061029 64.1342899, -21.9031484 64.1337874, -21.9007874 64.1334002, -21.8990654 64.1331431)",1942
90,634,15480,"LINESTRING (-21.8990654 64.1331431, -21.8986518 64.13269750000001)",10
91,634,new_obj_986,"LINESTRING (-21.8990654 64.1331431, -21.89817290017285 64.13301520006067)",78
92,640,6245,"LINESTRING (-21.4626403 64.2407542, -21.4246929 64.2281641)",15
93,642,15165,"LINESTRING (-21.7515896 64.0903977, -21.751029 64.09246229999999)",15
94,661,12331,"LINESTRING (-21.456305 64.2962527, -21.4571169 64.2947475)",45
95,679,15989,"LINESTRING (-21.7536579 64.209822, -21.7581328 64.2092932)",2
96,681,10555,"LINESTRING (-21.55276 64.0812651, -21.5594326 64.07848199999999)",15
97,688,1045,"LINESTRING (-21.6148333 64.1866374, -21.6180683 64.1855089)",45
98,691,4965,"LINESTRING (-21.7403018 64.3266617, -21.7430606 64.3261607)",15
99,696,14736,"LINESTRING (-21.7621059 64.2159159, -21.7674331 64.21036460000001)",15
100,701,new_obj_1270,"LINESTRING (-21.7974928 64.12473540000001, -21.7974820497516 64.12448195010079)",14
101,703,7317,"LINESTRING (-21.9613298 64.13652399999999, -21.962336 64.13779890000001)",4
102,717,new_obj_2381,"LINESTRING (-21.5408172 64.29689380000001, -21.54280274989061 64.3024168002097)",60
103,722,10402,"LINESTRING (-21.856081 64.1232945, -21.8538176 64.12142040000001)",1
104,739,5362,"LINESTRING (-21.8990491 64.133348, -21.9053889 64.1342837)",1
105,764,11626,"LINESTRING (-21.8137411 64.2415544, -21.8151166 64.2415963)",15
106,766,2063,"LINESTRING (-21.592439 64.3053895, -21.5931785 64.301149)",15
107,771,10883,"LINESTRING (-21.7620173 64.31835390000001, -21.7601877 64.31907459999999)",1
108,777,7953,"LINESTRING (-21.8365972 64.1192051, -21.8370984 64.1193105)",15
109,781,7583,"LINESTRING (-21.8466406 64.1204293, -21.8464455 64.12006890000001)",24
110,781,new_obj_538,"LINESTRING (-21.8466406 64.1204293, -21.84751399999486 64.12214050003081)",56
111,782,1092,"LINESTRING (-21.3618649 64.3563707, -21.3599915 64.3564492)",402
112,782,15631,"LINESTRING (-21.3618649 64.3563707, -21.3803975 64.354724)",126
113,784,3623,"LINESTRING (-21.8365609 64.1260836, -21.8368071 64.1255996)",5
114,785,new_obj_200,"LINESTRING (-21.8441005 64.1044753, -21.84230041298592 64.10576634623196)",12
115,797,11946,"LINESTRING (-21.8406239 64.1110865, -21.8406612 64.1105912)",28
116,797,new_obj_318,"LINESTRING (-21.8406239 64.1110865, -21.84058494999235 64.11193595013958)",57
117,804,476,"LINESTRING (-21.5609687 64.0786657, -21.5740763 64.0806674)",30
118,805,2411,"LINESTRING (-21.6325707 64.1272744, -21.6409102 64.12792469999999)",24
119,805,5527,"LINESTRING (-21.6325707 64.1272744, -21.6460981 64.1196662)",6
120,818,5404,"LINESTRING (-21.4588791 64.2912058, -21.4535496 64.2937457)",154
121,818,new_obj_2373,"LINESTRING (-21.4588791 64.2912058, -21.46100529988993 64.29095655004258)",15
122,821,10349,"LINESTRING (-21.9549725 64.1309301, -21.9555754 64.1310818)",15
123,829,4254,"LINESTRING (-21.9462545 64.1432301, -21.9449963 64.14314419999999)",1
124,832,new_obj_969,"LINESTRING (-21.8824193 64.13386300000001, -21.88310187766 64.13353438701579)",15
125,839,12216,"LINESTRING (-21.6170777 64.16118779999999, -21.6337307 64.164169)",30
126,848,10237,"LINESTRING (-21.611824 64.3221315, -21.6130069 64.3207949)",15
127,849,13923,"LINESTRING (-21.7110666 64.1698482, -21.7090897 64.1701063)",3
128,856,12609,"LINESTRING (-21.6996063 64.1239997, -21.6993059 64.1235689)",15
129,894,969,"LINESTRING (-21.7018229 64.1366354, -21.6941562 64.13838819999999)",10
130,894,13539,"LINESTRING (-21.7073857 64.13687640000001, -21.70657165005231 64.13696255012248, -21.7018229 64.1366354)",117
131,910,3832,"LINESTRING (-21.8636184 64.134829, -21.8639795 64.134607)",13
132,942,new_obj_34,"LINESTRING (-21.8434663 64.09668259999999, -21.84450669978252 64.0964474500815)",1
133,954,3240,"LINESTRING (-21.9299763 64.12259520000001, -21.9316828 64.12205489999999)",409
134,955,1046,"LINESTRING (-21.6955065 64.19516849999999, -21.6967618 64.1946789)",236
135,964,new_obj_1266,"LINESTRING (-21.8462126 64.1246046, -21.84174875522115 64.1242101581454)",120
136,964,new_obj_619,"LINESTRING (-21.8462126 64.1246046, -21.84784760728127 64.1249154307245)",2999
137,966,2777,"LINESTRING (-21.7797198 64.3055461, -21.7792556 64.3058624)",5
138,969,894,"LINESTRING (-21.6941562 64.13838819999999, -21.7018229 64.1366354)",117
139,969,new_obj_1288,"LINESTRING (-21.6941562 64.13838819999999, -21.69197855022784 64.13915830023087)",13
140,976,618,"LINESTRING (-21.4808176 64.29263469999999, -21.4795588 64.2937192)",15
141,984,new_obj_57,"LINESTRING (-21.6889194 64.0997935, -21.68953315360254 64.09981900664224)",96
142,993,new_obj_1255,"LINESTRING (-21.9140171 64.1302774, -21.91499262219489 64.13057078992452)",2
143,993,new_obj_774,"LINESTRING (-21.90848497099173 64.12748432644317, -21.9131967 64.129952, -21.9140171 64.1302774)",1
144,1001,new_obj_15,"LINESTRING (-21.729877 64.0896017, -21.72790865000355 64.08976575006173)",15
145,1011,9418,"LINESTRING (-21.8927035 64.14163000000001, -21.89277 64.14115630000001)",1
146,1019,4300,"LINESTRING (-21.918265 64.1458694, -21.9165696 64.1456621, -21.9158621 64.1456318)",27
147,1019,new_obj_1736,"LINESTRING (-21.9158621 64.1456318, -21.91474544233424 64.14529199124343)",14
148,1027,14871,"LINESTRING (-21.8002012 64.1382947, -21.7985503 64.13802440000001)",2
149,1030,8271,"LINESTRING (-21.6765001 64.1908737, -21.6772561 64.19028280000001)",28
150,1040,10074,"LINESTRING (-21.7835643 64.15583530000001, -21.7894958 64.15575490000001, -21.7903892 64.1557079)",6
151,1045,14347,"LINESTRING (-21.6180683 64.1855089, -21.6204777 64.1836981)",75
152,1046,6884,"LINESTRING (-21.6967618 64.1946789, -21.6975576 64.1945266)",24
153,1046,new_obj_2349,"LINESTRING (-21.6967618 64.1946789, -21.69727095002881 64.19436455007889)",212
154,1062,13518,"LINESTRING (-21.8275313 64.10677939999999, -21.8265862 64.10756170000001)",4
155,1078,15091,"LINESTRING (-21.6931145 64.0989539, -21.6955774 64.09840029999999)",388
156,1078,new_obj_57,"LINESTRING (-21.6931145 64.0989539, -21.68953315360254 64.09981900664224)",71
157,1092,344,"LINESTRING (-21.3599915 64.3564492, -21.354282 64.356601)",402
158,1092,782,"LINESTRING (-21.3599915 64.3564492, -21.3618649 64.3563707)",98
159,1095,14131,"LINESTRING (-21.7713578 64.10001250000001, -21.7699378 64.1004001)",15
160,1101,5282,"LINESTRING (-21.6293522 64.17238380000001, -21.6260674 64.1744916)",6
161,1103,6850,"LINESTRING (-21.8289247 64.24230129999999, -21.8277675 64.240953)",13
162,1103,new_obj_2360,"LINESTRING (-21.8289247 64.24230129999999, -21.82944930142967 64.24274675534359)",2
163,1127,14747,"LINESTRING (-21.9577253 64.15005379999999, -21.956282 64.1503139)",1
164,1129,2273,"LINESTRING (-21.7261145 64.13629299999999, -21.7239555 64.1364483)",8
165,1129,new_obj_1071,"LINESTRING (-21.73039619998174 64.13605940008279, -21.7290366 64.1362103, -21.7261145 64.13629299999999)",145
166,1134,new_obj_1105,"LINESTRING (-21.74217753250933 64.13596988696332, -21.7414174 64.1362139, -21.7399401 64.13666550000001)",173
167,1134,new_obj_1201,"LINESTRING (-21.7399401 64.13666550000001, -21.73913255350186 64.13681986103478)",6
168,1148,5317,"LINESTRING (-21.7715468 64.12320339999999, -21.7710865 64.12421500000001)",30
169,1149,10285,"LINESTRING (-21.7399959 64.1599054, -21.7374141 64.1594836)",15
170,1162,14575,"LINESTRING (-21.6731185 64.13864289999999, -21.6725013 64.1388764)",22
171,1171,12353,"LINESTRING (-21.8866102 64.1238476, -21.8888332 64.1242146)",12
172,1171,new_obj_527,"LINESTRING (-21.88046319395744 64.12282084485479, -21.88141440012313 64.1230858001268, -21.883152 64.12331159999999, -21.8866102 64.1238476)",2
173,1177,new_obj_1748,"LINESTRING (-21.85741116426613 64.14554507287679, -21.8565674 64.1452464, -21.8531547 64.1437024)",7
174,1181,7070,"LINESTRING (-21.8067368 64.1456427, -21.8064661 64.1450956)",13
175,1186,3457,"LINESTRING (-21.8384165 64.12394190000001, -21.8324909 64.1237812)",37
176,1186,new_obj_1261,"LINESTRING (-21.8384165 64.12394190000001, -21.84015299997179 64.12411595027903)",18
177,1204,15304,"LINESTRING (-21.6069081 64.1198193, -21.6064738 64.1181205)",30
178,1205,3804,"LINESTRING (-21.7081405 64.12214419999999, -21.7074754 64.1194874)",6
179,1205,5793,"LINESTRING (-21.7081405 64.12214419999999, -21.7118692 64.1239628)",62
180,1207,4835,"LINESTRING (-21.7025956 64.1107131, -21.7010879 64.1124762)",3
181,1207,5876,"LINESTRING (-21.7025956 64.1107131, -21.6972085 64.11038430000001)",9
182,1222,7377,"LINESTRING (-21.642955 64.3175887, -21.6444512 64.3167861)",30
183,1224,679,"LINESTRING (-21.7374512 64.2092605, -21.7536579 64.209822)",2
184,1224,11412,"LINESTRING (-21.7374512 64.2092605, -21.7293658 64.20858339999999)",13
185,1225,11274,"LINESTRING (-21.8294431 64.1128865, -21.8305162 64.1128817)",8
186,1229,2421,"LINESTRING (-21.565864 64.37318860000001, -21.57389 64.3704)",15
