,start,node,geometry,count
187,1238,7234,"LINESTRING (-21.4610208 64.2832933, -21.4633859 64.2833284)",30
188,1249,new_obj_2124,"LINESTRING (-21.7782758 64.1529603, -21.77844364985178 64.15270805025314)",15
189,1261,309,"LINESTRING (-21.6418502 64.3544771, -21.6424808 64.3559745)",379
190,1261,1427,"LINESTRING (-21.6418502 64.3544771, -21.6411781 64.3539837)",420
191,1262,42,"LINESTRING (-21.9248976 64.1406118, -21.9252699 64.1405139, -21.9262347 64.14026029999999)",9
192,1264,1268,"LINESTRING (-21.8503596 64.1410305, -21.8505871 64.14158070000001)",5
193,1264,new_obj_1614,"LINESTRING (-21.8503596 64.1410305, -21.85041156504738 64.1406980276041)",15
194,1268,1264,"LINESTRING (-21.8505871 64.14158070000001, -21.8503596 64.1410305)",15
195,1268,2711,"LINESTRING (-21.8505871 64.14158070000001, -21.8517585 64.1428913)",5
196,1287,5380,"LINESTRING (-21.7629704 64.1335074, -21.7645479 64.1331261)",2
197,1287,new_obj_1067,"LINESTRING (-21.7629704 64.1335074, -21.76117010011283 64.1353688002266)",6
198,1289,6804,"LINESTRING (-21.9436937 64.1491651, -21.9440302 64.14868180000001)",1
199,1305,7473,"LINESTRING (-21.6522928 64.16439130000001, -21.6577102 64.1631431)",36
200,1305,11665,"LINESTRING (-21.6522928 64.16439130000001, -21.6511653 64.1628462)",1
201,1311,new_obj_1929,"LINESTRING (-21.9228135 64.14675440000001, -21.92344594704192 64.14624380003698)",5
202,1324,new_obj_335,"LINESTRING (-21.8404002 64.1137117, -21.84055469705321 64.113388634003)",28
203,1324,new_obj_370,"LINESTRING (-21.8404002 64.1137117, -21.84334915024049 64.11576330020218)",65
204,1326,7347,"LINESTRING (-21.7958476 64.1075628, -21.7955929 64.10706159999999)",15
205,1331,new_obj_1047,"LINESTRING (-21.9494821 64.1324759, -21.94663882590898 64.13399325138595)",25
206,1335,5399,"LINESTRING (-21.7603934 64.1545899, -21.7638372 64.153423)",269
207,1335,6914,"LINESTRING (-21.7603934 64.1545899, -21.7560166 64.15534150000001)",24
208,1353,3459,"LINESTRING (-21.7447676 64.09918570000001, -21.7456 64.0988349)",43
209,1355,7958,"LINESTRING (-21.4316465 64.2332236, -21.43019795011982 64.232992600052, -21.4303756 64.23319600000001)",15
210,1360,10388,"LINESTRING (-21.7780839 64.0962882, -21.7778373 64.0968084)",15
211,1383,955,"LINESTRING (-21.6965851 64.19565350000001, -21.6955065 64.19516849999999)",26
212,1385,3749,"LINESTRING (-21.9864696 64.1546632, -21.9861099 64.15312350000001)",13
213,1385,10382,"LINESTRING (-21.9864696 64.1546632, -21.9865388 64.15504420000001)",408
214,1386,3749,"LINESTRING (-21.9859655 64.15286469999999, -21.9861099 64.15312350000001)",408
215,1386,7667,"LINESTRING (-21.9859655 64.15286469999999, -21.9856532 64.1524828)",13
216,1422,10558,"LINESTRING (-21.7937124 64.0991435, -21.7935841 64.09877609999999)",24
217,1424,5530,"LINESTRING (-21.7016449 64.10140869999999, -21.7006635 64.09881489999999)",8
218,1427,1261,"LINESTRING (-21.6411781 64.3539837, -21.6418502 64.3544771)",379
219,1427,9319,"LINESTRING (-21.6411781 64.3539837, -21.6395315 64.35327789999999)",420
220,1434,4468,"LINESTRING (-21.8376488 64.27376219999999, -21.8362624 64.2724442)",1495
221,1434,7924,"LINESTRING (-21.8376488 64.27376219999999, -21.8378964 64.2744186)",244
222,1442,3822,"LINESTRING (-21.825662 64.10834370000001, -21.8260909 64.1097207)",4
223,1458,9678,"LINESTRING (-21.6940994 64.3332916, -21.6898672 64.33258530000001)",264
224,1458,13734,"LINESTRING (-21.6940994 64.3332916, -21.7041306 64.3335848)",1149
225,1461,481,"LINESTRING (-21.7895038 64.12464660000001, -21.7933696 64.1245072)",38
226,1461,15129,"LINESTRING (-21.7797129 64.1262772, -21.7851017 64.1251224, -21.7868544 64.124882, -21.7895038 64.12464660000001)",4
227,1461,new_obj_616,"LINESTRING (-21.7895038 64.12464660000001, -21.78698769991477 64.12527270006068)",5
228,1464,3956,"LINESTRING (-21.7540048 64.29678989999999, -21.7532534 64.2973327)",30
229,1488,4989,"LINESTRING (-21.8928457 64.13220800000001, -21.8945436 64.13246909999999)",1938
230,1488,11246,"LINESTRING (-21.8928457 64.13220800000001, -21.890442 64.1318383)",100
231,1501,829,"LINESTRING (-21.9475377 64.1433182, -21.9462545 64.1432301)",1
232,1501,new_obj_1571,"LINESTRING (-21.9475377 64.1433182, -21.94807282473933 64.14296052141744)",1
233,1503,new_obj_1144,"LINESTRING (-21.8596523 64.1391496, -21.85794095003258 64.13743955005729)",12
234,1504,15309,"LINESTRING (-21.7133483 64.20070389999999, -21.7031139 64.19596540000001)",15
235,1517,4002,"LINESTRING (-21.6264844 64.34878329999999, -21.6293147 64.3497644)",378
236,1517,9408,"LINESTRING (-21.6264844 64.34878329999999, -21.6244009 64.3480575)",434
237,1529,8864,"LINESTRING (-21.5498035 64.1771121, -21.584545 64.1807787)",15
238,1530,7750,"LINESTRING (-21.714208 64.1065598, -21.715947 64.1044227)",2
239,1533,2313,"LINESTRING (-21.734661 64.1268345, -21.7366171 64.1275006)",15
240,1547,14758,"LINESTRING (-21.7139382 64.1694945, -21.7126238 64.16965810000001)",3
241,1565,6691,"LINESTRING (-21.7686959 64.07317279999999, -21.7915819 64.0678429, -21.7922569 64.0675664, -21.8005235 64.0581498)",42
242,1565,10936,"LINESTRING (-21.8005235 64.0581498, -21.8059489 64.0561695)",406
243,1583,16020,"LINESTRING (-21.8566962 64.26768989999999, -21.8406547 64.2691992)",15
244,1594,7214,"LINESTRING (-21.7968958 64.1225654, -21.7967562 64.12358450000001)",18
245,1612,2782,"LINESTRING (-22.020389 64.1642226, -22.0145449 64.16251750000001, -22.01400900017049 64.16247280007732, -22.0133192 64.16252350000001, -22.010918 64.16232220000001)",409
246,1613,5610,"LINESTRING (-22.0059698 64.1593553, -22.0041174 64.1601849)",15
247,1616,5610,"LINESTRING (-22.0013021 64.1595659, -22.0041174 64.1601849)",408
248,1616,9802,"LINESTRING (-22.0013021 64.1595659, -21.9997643 64.15934470000001)",14
249,1619,9688,"LINESTRING (-22.0031438 64.1559819, -22.0040425 64.15510070000001)",1
250,1641,15412,"LINESTRING (-21.6494822 64.1042633, -21.6469028 64.1033194)",15
251,1644,2662,"LINESTRING (-21.755262 64.0863532, -21.7534962 64.08536340000001)",393
252,1644,9078,"LINESTRING (-21.755262 64.0863532, -21.7567347 64.0871041)",210
253,1651,5049,"LINESTRING (-21.7175529 64.1706714, -21.7173358 64.1703357)",15
254,1652,15660,"LINESTRING (-21.7141678 64.167146, -21.7131542 64.1669801)",3
255,1668,new_obj_1020,"LINESTRING (-21.7978531 64.13296819999999, -21.79760189980044 64.13265770007661)",304
256,1678,6798,"LINESTRING (-21.8117941 64.227632, -21.812703 64.2285871)",4
257,1697,new_obj_1794,"LINESTRING (-21.7792376 64.1478731, -21.77942292578813 64.14855876162615)",2
258,1700,2273,"LINESTRING (-21.7228173 64.1365679, -21.7239555 64.1364483)",145
259,1700,2320,"LINESTRING (-21.7228173 64.1365679, -21.7214544 64.1366857)",8
260,1709,12534,"LINESTRING (-21.778909 64.1502718, -21.7756109 64.15116620000001)",8
261,1725,2057,"LINESTRING (-21.6521303 64.3112254, -21.65322059988859 64.31035270009015, -21.6622442 64.2991562)",17
262,1725,7161,"LINESTRING (-21.6622442 64.2991562, -21.6651087 64.29622519999999)",14
263,1732,12558,"LINESTRING (-21.6942548 64.1886523, -21.6936055 64.18884970000001)",15
264,1735,6812,"LINESTRING (-21.6508191 64.3257603, -21.6529097 64.32825889999999)",92
265,1762,3999,"LINESTRING (-21.8730493 64.2413341, -21.8688085 64.24066209999999)",30
266,1768,4232,"LINESTRING (-21.6348884 64.2884667, -21.6360026 64.28853890000001)",15
267,1772,4220,"LINESTRING (-21.7856025 64.21467749999999, -21.7847999 64.2146609)",15
268,1780,11083,"LINESTRING (-21.6362237 64.2964887, -21.6387427 64.2962783)",90
269,1788,15631,"LINESTRING (-21.3816154 64.35502390000001, -21.3803975 64.354724)",15
270,1796,343,"LINESTRING (-21.7317495 64.0672108, -21.7373533 64.07018600000001)",57
271,1803,7924,"LINESTRING (-21.8374376 64.2745946, -21.8378964 64.2744186)",1495
272,1803,15210,"LINESTRING (-21.8374376 64.2745946, -21.834552 64.2787752)",244
273,1804,new_obj_2346,"LINESTRING (-21.4297431 64.20941879999999, -21.43165485003792 64.20932940012396)",15
274,1806,4712,"LINESTRING (-21.9334948 64.13576089999999, -21.9334172 64.13503249999999)",9
275,1815,new_obj_681,"LINESTRING (-21.9109967 64.12559469999999, -21.9092622399837 64.12596224526276)",15
276,1818,6267,"LINESTRING (-21.8739456 64.131806, -21.8737013 64.13215169999999)",398
277,1818,new_obj_931,"LINESTRING (-21.8739456 64.131806, -21.87412984099517 64.13135219383753)",6
278,1822,8429,"LINESTRING (-21.5311718 64.337282, -21.5516044 64.3408596)",124
279,1822,9076,"LINESTRING (-21.5311718 64.337282, -21.5301805 64.33701050000001)",7
280,1832,1678,"LINESTRING (-21.8071474 64.2254473, -21.8117941 64.227632)",4
281,1832,12292,"LINESTRING (-21.8071474 64.2254473, -21.8042966 64.2241551)",13
282,1840,6070,"LINESTRING (-21.881812 64.2372372, -21.8766516 64.2413463)",15
283,1853,4686,"LINESTRING (-21.7318448 64.33644099999999, -21.7405069 64.3304083)",15
284,1859,2147,"LINESTRING (-21.9550436 64.1482907, -21.954272 64.14865210000001)",395
285,1860,2446,"LINESTRING (-21.6763431 64.1604743, -21.6769937 64.1607207)",106
286,1860,13637,"LINESTRING (-21.6763431 64.1604743, -21.674712 64.1598317)",141
