,node_ID,y,x,geometry
0,0,64.0841785,-21.6684847,POINT (-21.6684847 64.0841785)
1,1,64.154069,-21.9982927,POINT (-21.9982927 64.154069)
2,2,64.1195031,-21.8005061,POINT (-21.8005061 64.1195031)
3,3,64.1482809,-21.7895039,POINT (-21.7895039 64.1482809)
4,4,64.3643491,-21.6213654,POINT (-21.6213654 64.3643491)
5,5,64.1396315,-21.9007436,POINT (-21.9007436 64.1396315)
6,6,64.1429634,-21.7926033,POINT (-21.7926033 64.1429634)
7,7,64.3057967,-21.6414203,POINT (-21.6414203 64.3057967)
8,8,64.1252242,-21.8101071,POINT (-21.8101071 64.1252242)
9,9,64.1356462,-21.8027949,POINT (-21.8027949 64.1356462)
10,10,64.1580257,-21.7164258,POINT (-21.7164258 64.1580257)
11,11,64.1654066,-21.7417192,POINT (-21.7417192 64.1654066)
12,12,64.1490645,-21.7838151,POINT (-21.7838151 64.1490645)
13,13,64.1445252,-21.8622656,POINT (-21.8622656 64.1445252)
14,14,64.1469109,-21.7807228,POINT (-21.7807228 64.1469109)
15,15,64.1590137,-21.6725883,POINT (-21.6725883 64.1590137)
16,16,64.1479118,-21.8744816,POINT (-21.8744816 64.1479118)
17,17,64.1205886,-21.7942235,POINT (-21.7942235 64.1205886)
18,18,64.1413432,-21.7597657,POINT (-21.7597657 64.1413432)
19,19,64.1274865,-21.8114825,POINT (-21.8114825 64.1274865)
20,20,64.2424935,-21.8322677,POINT (-21.8322677 64.2424935)
21,21,64.1015499,-21.8249537,POINT (-21.8249537 64.1015499)
22,22,64.1349337,-21.7987484,POINT (-21.7987484 64.1349337)
23,23,64.1199545,-21.791848,POINT (-21.791848 64.1199545)
24,24,64.1496723,-21.7923796,POINT (-21.7923796 64.1496723)
25,25,64.1697794,-21.7269829,POINT (-21.7269829 64.1697794)
26,26,64.1888497,-21.6936055,POINT (-21.6936055 64.1888497)
27,27,64.1327351,-21.8143015,POINT (-21.8143015 64.1327351)
28,28,64.1359644,-21.8778283,POINT (-21.8778283 64.1359644)
29,29,64.1110168,-21.823773,POINT (-21.823773 64.1110168)
30,30,64.2493237,-21.8608075,POINT (-21.8608075 64.2493237)
31,31,64.1444096,-21.7359014,POINT (-21.7359014 64.1444096)
32,32,64.1201683,-21.8787553,POINT (-21.8787553 64.1201683)
33,33,64.128614,-21.8913929,POINT (-21.8913929 64.128614)
34,34,64.1467319,-21.8805023,POINT (-21.8805023 64.1467319)
35,35,64.138599,-21.8831613,POINT (-21.8831613 64.138599)
36,36,64.167041,-21.5954251,POINT (-21.5954251 64.167041)
37,37,64.1276226,-21.8232509,POINT (-21.8232509 64.1276226)
38,38,64.1305479,-21.8624353,POINT (-21.8624353 64.1305479)
39,39,64.1288175,-21.6501467,POINT (-21.6501467 64.1288175)
40,40,64.1375293,-21.8794627,POINT (-21.8794627 64.1375293)
41,41,64.1544147,-21.9471817,POINT (-21.9471817 64.1544147)
42,42,64.3664256,-21.6211957,POINT (-21.6211957 64.3664256)
43,43,64.2948372,-21.6613151,POINT (-21.6613151 64.2948372)
44,44,64.1472921,-21.8949001,POINT (-21.8949001 64.1472921)
45,45,64.1396329,-21.9564582,POINT (-21.9564582 64.1396329)
46,46,64.1267414,-21.7569518,POINT (-21.7569518 64.1267414)
47,47,64.1678828,-21.704352,POINT (-21.704352 64.1678828)
48,48,64.2083654,-21.7108994,POINT (-21.7108994 64.2083654)
49,49,64.200762,-21.6533997,POINT (-21.6533997 64.200762)
50,50,64.1159444,-21.7999566,POINT (-21.7999566 64.1159444)
51,51,64.1051017,-21.8182475,POINT (-21.8182475 64.1051017)
52,52,64.1542561,-21.9469491,POINT (-21.9469491 64.1542561)
53,53,64.1289201,-21.9000355,POINT (-21.9000355 64.1289201)
54,54,64.1357605,-21.9097358,POINT (-21.9097358 64.1357605)
55,55,64.116092,-21.6952622,POINT (-21.6952622 64.116092)
56,56,64.1439209,-21.8114427,POINT (-21.8114427 64.1439209)
57,57,64.0978588,-21.8445337,POINT (-21.8445337 64.0978588)
58,58,64.1230408,-21.8813634,POINT (-21.8813634 64.1230408)
59,59,64.1217828,-21.7977466,POINT (-21.7977466 64.1217828)
60,60,64.1493368,-21.9307456,POINT (-21.9307456 64.1493368)
61,61,64.1474447,-21.8811466,POINT (-21.8811466 64.1474447)
62,62,64.1125327,-21.7941389,POINT (-21.7941389 64.1125327)
63,63,64.2136184,-21.7528169,POINT (-21.7528169 64.2136184)
64,64,64.1423387,-21.9488915,POINT (-21.9488915 64.1423387)
65,65,64.1233502,-21.8912411,POINT (-21.8912411 64.1233502)
66,66,64.1655815,-21.7180142,POINT (-21.7180142 64.1655815)
67,67,64.335563,-21.6973399,POINT (-21.6973399 64.335563)
68,68,64.1308428,-21.8990873,POINT (-21.8990873 64.1308428)
69,69,64.1431497,-21.7901494,POINT (-21.7901494 64.1431497)
70,70,64.1507588,-21.861197,POINT (-21.861197 64.1507588)
71,71,64.2848578,-21.4512236,POINT (-21.4512236 64.2848578)
72,72,64.123702,-21.8647029,POINT (-21.8647029 64.123702)
73,73,64.1209088,-21.7669791,POINT (-21.7669791 64.1209088)
74,74,64.1563824,-21.997992,POINT (-21.997992 64.1563824)
75,75,64.1372931,-21.9345744,POINT (-21.9345744 64.1372931)
76,76,64.1508313,-21.9598654,POINT (-21.9598654 64.1508313)
77,77,64.1268694,-21.7600759,POINT (-21.7600759 64.1268694)
78,78,64.2994633,-21.6407678,POINT (-21.6407678 64.2994633)
79,79,64.1410093,-21.806979,POINT (-21.806979 64.1410093)
80,80,64.1470452,-21.8182166,POINT (-21.8182166 64.1470452)
81,81,64.1277433,-21.887405,POINT (-21.887405 64.1277433)
82,82,64.1373698,-21.8989597,POINT (-21.8989597 64.1373698)
83,83,64.1992245,-21.5603463,POINT (-21.5603463 64.1992245)
84,84,64.1326916,-21.797458,POINT (-21.797458 64.1326916)
85,85,64.3331016,-21.7212808,POINT (-21.7212808 64.3331016)
86,86,64.1460707,-21.7517249,POINT (-21.7517249 64.1460707)
87,87,64.1133848,-21.8306815,POINT (-21.8306815 64.1133848)
88,88,64.2415334,-21.866328,POINT (-21.866328 64.2415334)
89,89,64.1687528,-21.6924764,POINT (-21.6924764 64.1687528)
90,90,64.1003066,-21.8154921,POINT (-21.8154921 64.1003066)
91,91,64.1246131,-21.8694658,POINT (-21.8694658 64.1246131)
92,92,64.1261074,-21.8838054,POINT (-21.8838054 64.1261074)
93,93,64.1039272,-21.7928523,POINT (-21.7928523 64.1039272)
94,94,64.1055189,-21.8528904,POINT (-21.8528904 64.1055189)
95,95,64.1653198,-21.7306021,POINT (-21.7306021 64.1653198)
96,96,64.1378836,-21.9465771,POINT (-21.9465771 64.1378836)
97,97,64.1011543,-21.7801103,POINT (-21.7801103 64.1011543)
98,98,64.2844597,-21.4595036,POINT (-21.4595036 64.2844597)
99,99,64.2855111,-21.4615789,POINT (-21.4615789 64.2855111)
100,100,64.1379532,-21.8837676,POINT (-21.8837676 64.1379532)
101,101,64.1444556,-21.9163154,POINT (-21.9163154 64.1444556)
102,102,64.1373794,-21.9256088,POINT (-21.9256088 64.1373794)
103,103,64.1247989,-21.9102844,POINT (-21.9102844 64.1247989)
104,104,64.1639539,-21.6848498,POINT (-21.6848498 64.1639539)
105,105,64.1435852,-21.9630594,POINT (-21.9630594 64.1435852)
106,106,64.1400031,-21.8057334,POINT (-21.8057334 64.1400031)
107,107,64.1227725,-21.8665506,POINT (-21.8665506 64.1227725)
