,node_ID,y,x,geometry
0,0,64.0841785,-21.6684847,POINT (-21.6684847 64.0841785)
1,1,64.1509811,-21.9849512,POINT (-21.9849512 64.1509811)
2,2,64.1194792,-21.5935382,POINT (-21.5935382 64.1194792)
3,3,64.154069,-21.9982927,POINT (-21.9982927 64.154069)
4,4,64.1164258,-21.8035034,POINT (-21.8035034 64.1164258)
5,5,64.1449159,-21.9658228,POINT (-21.9658228 64.1449159)
6,6,64.1482809,-21.7895039,POINT (-21.7895039 64.1482809)
7,7,64.1396315,-21.9007436,POINT (-21.9007436 64.1396315)
8,8,64.1356462,-21.8027949,POINT (-21.8027949 64.1356462)
9,9,64.1456822,-21.9034025,POINT (-21.9034025 64.1456822)
10,10,64.1580257,-21.7164258,POINT (-21.7164258 64.1580257)
11,11,64.1390679,-21.8446493,POINT (-21.8446493 64.1390679)
12,12,64.1429634,-21.7926033,POINT (-21.7926033 64.1429634)
13,13,64.1175047,-21.6467947,POINT (-21.6467947 64.1175047)
14,14,64.1490645,-21.7838151,POINT (-21.7838151 64.1490645)
15,15,64.0990725,-21.7764491,POINT (-21.7764491 64.0990725)
16,16,64.1445252,-21.8622656,POINT (-21.8622656 64.1445252)
17,17,64.130617,-21.7597409,POINT (-21.7597409 64.130617)
18,18,64.1469109,-21.7807228,POINT (-21.7807228 64.1469109)
19,19,64.1479118,-21.8744816,POINT (-21.8744816 64.1479118)
20,20,64.1590137,-21.6725883,POINT (-21.6725883 64.1590137)
21,21,64.1274865,-21.8114825,POINT (-21.8114825 64.1274865)
22,22,64.1410378,-21.8990082,POINT (-21.8990082 64.1410378)
23,23,64.1311711,-21.859104,POINT (-21.859104 64.1311711)
24,24,64.1386596,-21.9396751,POINT (-21.9396751 64.1386596)
25,25,64.2424935,-21.8322677,POINT (-21.8322677 64.2424935)
26,26,64.1015499,-21.8249537,POINT (-21.8249537 64.1015499)
27,27,64.1349337,-21.7987484,POINT (-21.7987484 64.1349337)
28,28,64.1496723,-21.7923796,POINT (-21.7923796 64.1496723)
29,29,64.1697794,-21.7269829,POINT (-21.7269829 64.1697794)
30,30,64.1888497,-21.6936055,POINT (-21.6936055 64.1888497)
31,31,64.1362209,-21.8769927,POINT (-21.8769927 64.1362209)
32,32,64.1699151,-21.6679845,POINT (-21.6679845 64.1699151)
33,33,64.1110168,-21.823773,POINT (-21.823773 64.1110168)
34,34,64.1359644,-21.8778283,POINT (-21.8778283 64.1359644)
35,35,64.2493237,-21.8608075,POINT (-21.8608075 64.2493237)
36,36,64.2725784,-21.8337752,POINT (-21.8337752 64.2725784)
37,37,64.0968888,-21.8324549,POINT (-21.8324549 64.0968888)
38,38,64.1201683,-21.8787553,POINT (-21.8787553 64.1201683)
39,39,64.128614,-21.8913929,POINT (-21.8913929 64.128614)
40,40,64.1429819,-21.800665,POINT (-21.800665 64.1429819)
41,41,64.1478746,-21.9601393,POINT (-21.9601393 64.1478746)
42,42,64.1479847,-21.9751857,POINT (-21.9751857 64.1479847)
43,44,64.138599,-21.8831613,POINT (-21.8831613 64.138599)
44,45,64.14297,-21.9685156,POINT (-21.9685156 64.14297)
45,46,64.0924003,-21.644467,POINT (-21.644467 64.0924003)
46,47,64.1494959,-21.7884014,POINT (-21.7884014 64.1494959)
47,48,64.0976178,-21.824953,POINT (-21.824953 64.0976178)
48,49,64.1276226,-21.8232509,POINT (-21.8232509 64.1276226)
49,51,64.1288175,-21.6501467,POINT (-21.6501467 64.1288175)
50,52,64.1544147,-21.9471817,POINT (-21.9471817 64.1544147)
51,53,64.3664256,-21.6211957,POINT (-21.6211957 64.3664256)
52,54,64.0964786,-21.8443446,POINT (-21.8443446 64.0964786)
53,55,64.1472921,-21.8949001,POINT (-21.8949001 64.1472921)
54,56,64.1396329,-21.9564582,POINT (-21.9564582 64.1396329)
55,57,64.1267414,-21.7569518,POINT (-21.7569518 64.1267414)
56,58,64.2083654,-21.7108994,POINT (-21.7108994 64.2083654)
57,59,64.200762,-21.6533997,POINT (-21.6533997 64.200762)
58,60,64.1509484,-21.8689415,POINT (-21.8689415 64.1509484)
59,61,64.1051017,-21.8182475,POINT (-21.8182475 64.1051017)
60,62,64.1670936,-21.7174307,POINT (-21.7174307 64.1670936)
61,63,64.1542561,-21.9469491,POINT (-21.9469491 64.1542561)
62,64,64.1289201,-21.9000355,POINT (-21.9000355 64.1289201)
63,65,64.1788345,-21.5890577,POINT (-21.5890577 64.1788345)
64,66,64.1357605,-21.9097358,POINT (-21.9097358 64.1357605)
65,67,64.116092,-21.6952622,POINT (-21.6952622 64.116092)
66,68,64.1460045,-21.7738144,POINT (-21.7738144 64.1460045)
67,69,64.1328603,-21.7415418,POINT (-21.7415418 64.1328603)
68,70,64.0978588,-21.8445337,POINT (-21.8445337 64.0978588)
69,71,64.1640738,-21.7167023,POINT (-21.7167023 64.1640738)
70,72,64.1474447,-21.8811466,POINT (-21.8811466 64.1474447)
71,73,64.1295701,-21.7280499,POINT (-21.7280499 64.1295701)
72,74,64.1125327,-21.7941389,POINT (-21.7941389 64.1125327)
73,75,64.1316199,-21.8224516,POINT (-21.8224516 64.1316199)
74,76,64.2136184,-21.7528169,POINT (-21.7528169 64.2136184)
75,77,64.1233502,-21.8912411,POINT (-21.8912411 64.1233502)
76,78,64.1655815,-21.7180142,POINT (-21.7180142 64.1655815)
77,79,64.1308428,-21.8990873,POINT (-21.8990873 64.1308428)
78,80,64.1431497,-21.7901494,POINT (-21.7901494 64.1431497)
79,81,64.2848578,-21.4512236,POINT (-21.4512236 64.2848578)
80,82,64.1444221,-21.8806041,POINT (-21.8806041 64.1444221)
81,83,64.1444906,-21.7560266,POINT (-21.7560266 64.1444906)
82,84,64.1209088,-21.7669791,POINT (-21.7669791 64.1209088)
83,85,64.1268694,-21.7600759,POINT (-21.7600759 64.1268694)
84,86,64.1372931,-21.9345744,POINT (-21.9345744 64.1372931)
85,87,64.1063459,-21.8138854,POINT (-21.8138854 64.1063459)
86,88,64.1212254,-21.8786392,POINT (-21.8786392 64.1212254)
87,89,64.2994633,-21.6407678,POINT (-21.6407678 64.2994633)
88,90,64.1410093,-21.806979,POINT (-21.806979 64.1410093)
89,91,64.1443716,-21.7991602,POINT (-21.7991602 64.1443716)
90,92,64.1470452,-21.8182166,POINT (-21.8182166 64.1470452)
91,93,64.1472985,-21.881532,POINT (-21.881532 64.1472985)
92,94,64.1373698,-21.8989597,POINT (-21.8989597 64.1373698)
93,95,64.1740083,-21.5920569,POINT (-21.5920569 64.1740083)
94,96,64.1992245,-21.5603463,POINT (-21.5603463 64.1992245)
95,97,64.1326916,-21.797458,POINT (-21.797458 64.1326916)
96,98,64.1588662,-22.0027625,POINT (-22.0027625 64.1588662)
97,99,64.3331016,-21.7212808,POINT (-21.7212808 64.3331016)
98,100,64.097677,-21.777611,POINT (-21.777611 64.097677)
99,101,64.1133848,-21.8306815,POINT (-21.8306815 64.1133848)
100,102,64.2415334,-21.866328,POINT (-21.866328 64.2415334)
101,103,64.1225625,-21.7938543,POINT (-21.7938543 64.1225625)
102,104,64.1246131,-21.8694658,POINT (-21.8694658 64.1246131)
103,105,64.1341236,-21.8437558,POINT (-21.8437558 64.1341236)
104,106,64.1039272,-21.7928523,POINT (-21.7928523 64.1039272)
105,107,64.2855111,-21.4615789,POINT (-21.4615789 64.2855111)
106,108,64.1379532,-21.8837676,POINT (-21.8837676 64.1379532)
107,109,64.1378836,-21.9465771,POINT (-21.9465771 64.1378836)
108,110,64.1011543,-21.7801103,POINT (-21.7801103 64.1011543)
109,111,64.2844597,-21.4595036,POINT (-21.4595036 64.2844597)
110,112,64.1653198,-21.7306021,POINT (-21.7306021 64.1653198)
